timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740118190817,131,1 Register Request,500,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",379,267,1,1,http://localhost:8080/authentication/register,126,0,22
1740118191479,100,2 Failed Register Request,500,,User 1 Thread 1-1,text,false,,379,266,1,1,http://localhost:8080/authentication/register,100,0,2
1740118192082,96,3 Failed Login Request,500,,User 1 Thread 1-1,text,false,,379,240,1,1,http://localhost:8080/authentication/login,95,0,2
1740118192680,97,4 Login Request,200,,User 1 Thread 1-1,text,true,,539,239,1,1,http://localhost:8080/authentication/login,97,0,2
1740118193283,28,5 Create Google Stock Request,200,,User 1 Thread 1-1,text,true,,383,378,1,1,http://localhost:8080/setup/createStock,28,0,0
1740118193814,18,6 Add Google Stock Request,200,,User 1 Thread 1-1,text,true,,371,391,1,1,http://localhost:8080/setup/addStockToUser,18,0,0
1740118194335,18,7 Create Apple Stock Request,200,,User 1 Thread 1-1,text,true,,383,377,1,1,http://localhost:8080/setup/createStock,18,0,0
1740118194855,22,8 Add Apple Stock Request,200,,User 1 Thread 1-1,text,true,,371,391,1,1,http://localhost:8080/setup/addStockToUser,22,0,0
1740118195380,15,9 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,845,346,1,1,http://localhost:8080/transaction/getStockPortfolio,15,0,0
1740118195904,11,10 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,444,1,1,http://localhost:8080/engine/placeStockOrder,10,0,0
1740118196417,15,11 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,444,1,1,http://localhost:8080/engine/placeStockOrder,14,0,2
1740118196934,17,12 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,845,346,1,1,http://localhost:8080/transaction/getStockPortfolio,16,0,2
1740118197454,18,13 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,18,0,0
1740118197503,3,Debug Sampler,200,OK,User 1 Thread 1-1,text,true,,1192,0,1,1,null,0,0,0
1740118198007,94,14 Register Request,500,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",379,271,1,1,http://localhost:8080/authentication/register,93,0,0
1740118198603,98,15 Login Request,200,,User 1 Thread 1-1,text,true,,539,241,1,1,http://localhost:8080/authentication/login,98,0,2
1740118199203,12,16 Get Stock Prices Request,200,,User 1 Thread 1-1,text,false,,369,343,1,1,http://localhost:8080/transaction/getStockPrices,12,0,0
1740118199719,20,17 Add Money Request,200,,User 1 Thread 1-1,text,true,,371,382,1,1,http://localhost:8080/transaction/addMoneyToWallet,20,0,0
1740118200241,14,18 Get Wallet Balance Request,200,,User 1 Thread 1-1,text,false,,387,345,1,1,http://localhost:8080/transaction/getWalletBalance,13,0,0
1740118200761,9,19 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,429,1,1,http://localhost:8080/engine/placeStockOrder,9,0,0
1740118201273,19,20 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,18,0,2
1740118201796,13,21 Get Wallet Transactions Request,200,,User 1 Thread 1-1,text,false,,369,350,1,1,http://localhost:8080/transaction/getWalletTransactions,13,0,0
1740118202311,13,22 Get Wallet Balance Request,200,,User 1 Thread 1-1,text,false,,387,345,1,1,http://localhost:8080/transaction/getWalletBalance,13,0,0
1740118202826,15,23 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,369,346,1,1,http://localhost:8080/transaction/getStockPortfolio,15,0,0
1740118202843,2,Debug Sampler,200,OK,User 1 Thread 1-1,text,true,,1468,0,1,1,null,0,0,0
1740118203346,11,24 Cancel Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",373,385,1,1,http://localhost:8080/engine/cancelStockTransaction,11,0,0
1740118203860,18,25 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,18,0,2
1740118204381,9,26 Invalid Token,401,,User 1 Thread 1-1,text,true,,404,222,1,1,http://localhost:8080/transaction/getStockPortfolio,9,0,0
1740118204892,20,27 Invalid Payload Example,200,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'false', but it did not match: 'true'",371,383,1,1,http://localhost:8080/transaction/addMoneyToWallet,20,0,0
