timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740118081627,136,1 Register Request,500,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",379,267,1,1,http://localhost:8080/authentication/register,130,0,22
1740118082298,98,2 Failed Register Request,500,,User 1 Thread 1-1,text,false,,379,266,1,1,http://localhost:8080/authentication/register,98,0,2
1740118082898,98,3 Failed Login Request,500,,User 1 Thread 1-1,text,false,,379,240,1,1,http://localhost:8080/authentication/login,97,0,2
1740118083498,99,4 Login Request,200,,User 1 Thread 1-1,text,true,,539,239,1,1,http://localhost:8080/authentication/login,98,0,1
1740118084102,20,5 Create Google Stock Request,200,,User 1 Thread 1-1,text,true,,383,378,1,1,http://localhost:8080/setup/createStock,20,0,0
1740118084625,22,6 Add Google Stock Request,200,,User 1 Thread 1-1,text,true,,371,391,1,1,http://localhost:8080/setup/addStockToUser,22,0,0
1740118085150,22,7 Create Apple Stock Request,200,,User 1 Thread 1-1,text,true,,383,377,1,1,http://localhost:8080/setup/createStock,22,0,0
1740118085675,21,8 Add Apple Stock Request,200,,User 1 Thread 1-1,text,true,,371,391,1,1,http://localhost:8080/setup/addStockToUser,21,0,0
1740118086199,17,9 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,607,346,1,1,http://localhost:8080/transaction/getStockPortfolio,17,0,0
1740118086724,12,10 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,444,1,1,http://localhost:8080/engine/placeStockOrder,12,0,0
1740118087239,14,11 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,444,1,1,http://localhost:8080/engine/placeStockOrder,13,0,1
1740118087755,21,12 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,607,346,1,1,http://localhost:8080/transaction/getStockPortfolio,21,0,2
1740118088281,21,13 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,21,0,0
1740118088334,3,Debug Sampler,200,OK,User 1 Thread 1-1,text,true,,1192,0,1,1,null,0,0,0
1740118088838,99,14 Register Request,500,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",379,271,1,1,http://localhost:8080/authentication/register,98,0,0
1740118089439,97,15 Login Request,200,,User 1 Thread 1-1,text,true,,539,241,1,1,http://localhost:8080/authentication/login,97,0,2
1740118090039,13,16 Get Stock Prices Request,200,,User 1 Thread 1-1,text,false,,369,343,1,1,http://localhost:8080/transaction/getStockPrices,12,0,0
1740118090555,26,17 Add Money Request,200,,User 1 Thread 1-1,text,true,,371,382,1,1,http://localhost:8080/transaction/addMoneyToWallet,26,0,0
1740118091083,15,18 Get Wallet Balance Request,200,,User 1 Thread 1-1,text,false,,387,345,1,1,http://localhost:8080/transaction/getWalletBalance,15,0,0
1740118091601,12,19 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,429,1,1,http://localhost:8080/engine/placeStockOrder,11,0,0
1740118092114,21,20 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,20,0,2
1740118092639,13,21 Get Wallet Transactions Request,200,,User 1 Thread 1-1,text,false,,369,350,1,1,http://localhost:8080/transaction/getWalletTransactions,13,0,0
1740118093155,13,22 Get Wallet Balance Request,200,,User 1 Thread 1-1,text,false,,387,345,1,1,http://localhost:8080/transaction/getWalletBalance,13,0,0
1740118093670,14,23 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,369,346,1,1,http://localhost:8080/transaction/getStockPortfolio,14,0,0
1740118093686,2,Debug Sampler,200,OK,User 1 Thread 1-1,text,true,,1468,0,1,1,null,0,0,0
1740118094190,12,24 Cancel Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",373,385,1,1,http://localhost:8080/engine/cancelStockTransaction,12,0,0
1740118094705,27,25 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,27,0,2
1740118095235,10,26 Invalid Token,401,,User 1 Thread 1-1,text,true,,404,222,1,1,http://localhost:8080/transaction/getStockPortfolio,10,0,0
1740118095747,23,27 Invalid Payload Example,200,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'false', but it did not match: 'true'",371,383,1,1,http://localhost:8080/transaction/addMoneyToWallet,23,0,0
